timestamp,priority,base_fee_sat_vb,mempool_tx_count,recommended_fee_sat_vb
2025-12-14T12:48:08.419706+00:00,normal,1,60054,1
2025-12-14T12:48:14.986350+00:00,fast,1,60054,1
2025-12-14T12:48:14.986350+00:00,normal,1,60054,1
2025-12-14T12:48:14.986350+00:00,cheap,1,60054,1
2025-12-14T12:48:52.197095+00:00,fast,1,60414,1
2025-12-14T12:48:52.197095+00:00,normal,1,60414,1
2025-12-14T12:48:52.197095+00:00,cheap,1,60414,1
2025-12-14T12:48:53.603886+00:00,fast,1,60414,1
2025-12-14T12:48:53.603886+00:00,normal,1,60414,1
2025-12-14T12:48:53.603886+00:00,cheap,1,60414,1
2025-12-14T12:48:55.222270+00:00,normal,1,60414,1
2025-12-14T12:49:00.287534+00:00,fast,1,60414,1
2025-12-14T12:49:07.739022+00:00,normal,1,60454,1
2025-12-14T12:49:11.873398+00:00,cheap,1,60454,1
2025-12-14T12:49:14.841302+00:00,normal,1,60484,1
2025-12-14T12:49:22.507737+00:00,fast,1,60484,1
2025-12-14T12:49:22.507737+00:00,normal,1,60484,1
2025-12-14T12:49:22.507737+00:00,cheap,1,60484,1
2025-12-14T12:49:49.922066+00:00,fast,1,60579,1
2025-12-14T12:49:49.922066+00:00,normal,1,60579,1
2025-12-14T12:49:49.922066+00:00,cheap,1,60579,1
2025-12-14T12:51:43.612435+00:00,fast,2,61003,2
2025-12-14T12:51:43.612435+00:00,normal,1,61003,1
2025-12-14T12:51:43.612435+00:00,cheap,1,61003,1
2025-12-14T12:52:57.860779+00:00,fast,2,61392,2
2025-12-14T12:52:57.860779+00:00,normal,1,61392,1
2025-12-14T12:52:57.860779+00:00,cheap,1,61392,1
2025-12-14T12:54:28.248460+00:00,fast,2,61684,2
2025-12-14T12:54:28.248460+00:00,normal,1,61684,1
2025-12-14T12:54:28.248460+00:00,cheap,1,61684,1
2025-12-14T12:55:20.289570+00:00,fast,2,61822,2
2025-12-14T12:55:23.844923+00:00,fast,2,61844,2
2025-12-14T12:55:23.844923+00:00,normal,1,61844,1
2025-12-14T12:55:23.844923+00:00,cheap,1,61844,1
2025-12-14T12:56:09.293190+00:00,normal,1,61922,1
2025-12-14T12:56:12.370174+00:00,fast,2,61922,2
2025-12-14T12:56:12.370174+00:00,normal,1,61922,1
2025-12-14T12:56:12.370174+00:00,cheap,1,61922,1
2025-12-14T12:58:10.585239+00:00,normal,1,62161,1
2025-12-14T12:58:14.363991+00:00,fast,2,62161,2
2025-12-14T12:58:14.363991+00:00,normal,1,62161,1
2025-12-14T12:58:14.363991+00:00,cheap,1,62161,1
2025-12-14T12:59:38.695387+00:00,fast,2,62342,2
2025-12-14T12:59:38.695387+00:00,normal,1,62342,1
2025-12-14T12:59:38.695387+00:00,cheap,1,62342,1
2025-12-14T13:00:20.968983+00:00,fast,2,62476,2
2025-12-14T13:00:20.968983+00:00,normal,1,62476,1
2025-12-14T13:00:20.968983+00:00,cheap,1,62476,1
2025-12-14T13:03:17.855145+00:00,fast,2,62971,2
